Jaar,Maand Lange Omschrijving,Dag,Team Naam,VHA Bekken Omschrijving,VHA Categorie Omschrijving,VHA Gewestelijke Waterloop Omschrijving,Provincie Omschrijving,Gemeente Naam,Locatie Type Naam,Sporen Waarnemingen Naam,Locatie ID,Locatie GPS Lengte,Locatie GPS Breedte,Project Naam,Project Begindatum,Project Einddatum,Registratie ID,Registratie Verwijderd Omschrijving,Maand,Maand In Jaar,Team Rol,Land_Regio,Provincie NIS Code,VHA Categorie Code,Vangst Aantal,species_name_hash
2016,JULI,2016-07-14,Oost,Maasbekken,Onbevaarbaar cat. 1,WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS,Limburg,Pelt,Sporen,Grote waternavel,25134,5.49342171436081,51.2300616304613,Regulier,2000-01-01,9999-12-31,100378,Waargenomen,,,,,,,,42fb43aa49d90858f66666e7560b12a3
2016,JULI,2016-07-25,BRUGSE POL-GENTSE KAN,Bekken van de Brugse Polders,Bevaarbaar,LEOPOLDKANAAL,West-Vlaanderen,Damme,Waterloop,Muskusrat,25153,3.30647207015588,51.2623212307585,Regulier,2000-01-01,9999-12-31,100506,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JULI,2016-07-25,DEMER,Demerbekken,Onbevaarbaar cat. 1,GROTEBEEK - KLEINEBEEK - WINTERBEEK - GENEMEERBEEK,Vlaams-Brabant,Diest,Waterloop,Bruine rat,14054,5.07175814788093,51.0205546070966,Regulier,2000-01-01,9999-12-31,100507,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JANUARI,2016-01-25,SCHELDE-GENTSE KAN,Bekken van de Gentse Kanalen,Onbevaarbaar cat. 3,MARIABEEK - WANDAMMENSBEEK,Oost-Vlaanderen,Lokeren,Andere,Bruine rat,8689,3.96891721897825,51.1345111137337,Regulier,2000-01-01,9999-12-31,10055,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JANUARI,2016-01-07,BRUGSE POL-GENTSE KAN,Bekken van de Gentse Kanalen,Onbevaarbaar cat. 3,,Oost-Vlaanderen,Assenede,Waterloop,Bruine rat,957,3.70409633690693,51.269731336518,Regulier,2000-01-01,9999-12-31,1006,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-25,DEMER,Demerbekken,Onbevaarbaar cat. 1,ZWART WATER,Vlaams-Brabant,Diest,Waterloop,Bruine rat,14055,4.99703431484309,51.0071251210347,Regulier,2000-01-01,9999-12-31,100610,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-25,NETE NOORD,Netebekken,Onbevaarbaar cat. 1,DE AA - NATTENLOOP,Antwerpen,Lille,Waterloop,Ree,25164,4.86744203745974,51.2303404125774,Regulier,2000-01-01,9999-12-31,100613,Niet van toepassing,,,,,,,,ecb17cb50238b0cf135d059f1cc721f2
2016,JULI,2016-07-25,NETE NOORD,Netebekken,Onbevaarbaar cat. 2,KEMELBEEK,Antwerpen,Kasterlee,Waterloop,Bruine rat,25165,4.88212294173974,51.2436150010595,Regulier,2000-01-01,9999-12-31,100614,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-25,NETE NOORD,Netebekken,Onbevaarbaar cat. 2,KEMELBEEK,Antwerpen,Kasterlee,Waterloop,Japanse duizendknoop,25165,4.88212294173974,51.2436150010595,Regulier,2000-01-01,9999-12-31,100614,Waargenomen,,,,,,,,d89b5a1b0658f3958897638b8cfebbbf
2016,JULI,2016-07-26,DEMER,Demerbekken,Onbevaarbaar cat. 1,DEMER,Vlaams-Brabant,Diest,Waterloop,Bruine rat,13817,5.05411692286233,50.9915503705472,Regulier,2000-01-01,9999-12-31,100902,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-26,DEMER,Demerbekken,Bevaarbaar,DEMER,Vlaams-Brabant,Scherpenheuvel-Zichem,Waterloop,Bruine rat,13813,4.9658809581924,51.0072728101774,Regulier,2000-01-01,9999-12-31,100903,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-26,DEMER,Demerbekken,Onbevaarbaar cat. 1,DEMER,Vlaams-Brabant,Diest,Waterloop,Bruine rat,13815,5.03287147926517,50.9905500741631,Regulier,2000-01-01,9999-12-31,100904,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-26,LEIE & BOVENSCHELDE,Bovenscheldebekken,Onbevaarbaar cat. 2,RIJTGRACHT - PACHTBEEK - OLIEBERGBEEK,West-Vlaanderen,Avelgem,Waterloop,Muskusrat,25227,3.48230814828324,50.7838866954378,Regulier,2000-01-01,9999-12-31,101013,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JANUARI,2016-01-25,SCHELDE-GENTSE KAN,Bekken van de Gentse Kanalen,Onbevaarbaar cat. 3,MARIABEEK,Oost-Vlaanderen,Lokeren,Andere,Bruine rat,8739,3.94007827356924,51.1354421755935,Regulier,2000-01-01,9999-12-31,10106,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-27,NETE NOORD,Netebekken,Niet geklasseerd,WITTE LOOP,Antwerpen,Mol,Waterloop,Bever,25241,5.14208651063362,51.2238699182194,Regulier,2000-01-01,9999-12-31,101099,Niet van toepassing,,,,,,,,6a4fc653980091b524d1feb01041056a
2016,JULI,2016-07-27,BENEDENSCHELDE OOST,Benedenscheldebekken,Onbevaarbaar cat. 1,ANTITANKKANAAL - ANTITANKGRACHT,Antwerpen,Brasschaat,Waterloop,Parelvederkruid,22152,4.49299826058734,51.3295157673666,Regulier,2000-01-01,9999-12-31,101113,Verwijderd,,,,,,,,8f553b6ac2d3af6c2b9a92ff2b8f4209
2016,JULI,2016-07-27,LEIE & BOVENSCHELDE,Leiebekken,Bevaarbaar,LEIE - GRENSLEIE,West-Vlaanderen,Dentergem,Weg,Bruine rat,25242,3.45321875159257,50.9428845349183,Regulier,2000-01-01,9999-12-31,101114,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-27,BRUGSE POL-GENTSE KAN,Bekken van de Brugse Polders,Bevaarbaar,LEOPOLDKANAAL,West-Vlaanderen,Damme,Waterloop,Muskusrat,25153,3.30647207015588,51.2623212307585,Regulier,2000-01-01,9999-12-31,101147,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JULI,2016-07-27,BRUGSE POL-GENTSE KAN,Bekken van de Brugse Polders,Bevaarbaar,LEOPOLDKANAAL,West-Vlaanderen,Damme,Waterloop,Muskusrat,25246,3.30865874118558,51.2618558674667,Regulier,2000-01-01,9999-12-31,101149,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JULI,2016-07-27,BRUGSE POL-GENTSE KAN,Bekken van de Brugse Polders,Bevaarbaar,LEOPOLDKANAAL,West-Vlaanderen,Damme,Waterloop,Muskusrat,25247,3.30438313212295,51.2633988082945,Regulier,2000-01-01,9999-12-31,101150,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JULI,2016-07-27,DEMER,Demerbekken,Bevaarbaar,DEMER,Vlaams-Brabant,Scherpenheuvel-Zichem,Waterloop,Bruine rat,14251,4.94786455916551,51.0042186121177,Regulier,2000-01-01,9999-12-31,101199,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-27,DEMER,Demerbekken,Bevaarbaar,DEMER,Vlaams-Brabant,Aarschot,Waterloop,Bruine rat,14252,4.90220162434588,50.9965246950999,Regulier,2000-01-01,9999-12-31,101215,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-27,LEIE & BOVENSCHELDE,Bovenscheldebekken,Bevaarbaar,BOVENSCHELDE,Oost-Vlaanderen,Merelbeke,Waterloop,Reuzenberenklauw,25270,3.70004284829156,50.9696430918362,Regulier,2000-01-01,9999-12-31,101261,Waargenomen,,,,,,,,9f0cdca8dac7fd79ab603b7469e8d884
2016,JULI,2016-07-27,LEIE & BOVENSCHELDE,Bovenscheldebekken,Onbevaarbaar cat. 2,,Oost-Vlaanderen,Gavere,Waterloop,Bever,25272,3.66536942737517,50.918572320406,Regulier,2000-01-01,9999-12-31,101263,Niet van toepassing,,,,,,,,6a4fc653980091b524d1feb01041056a
2016,JULI,2016-07-28,NETE NOORD,Netebekken,Onbevaarbaar cat. 2,MAATLOOP,Antwerpen,Mol,Waterloop,Bever,25286,5.20589073484484,51.2328529720219,Regulier,2000-01-01,9999-12-31,101341,Niet van toepassing,,,,,,,,6a4fc653980091b524d1feb01041056a
2016,JULI,2016-07-28,DEMER,Demerbekken,Bevaarbaar,DEMER,Vlaams-Brabant,Aarschot,Waterloop,Bruine rat,14481,4.82206039932731,50.9873709857387,Regulier,2000-01-01,9999-12-31,101503,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-28,DEMER,Demerbekken,Bevaarbaar,DEMER,Vlaams-Brabant,Rotselaar,Waterloop,Bruine rat,14482,4.77191951629041,50.978197830361,Regulier,2000-01-01,9999-12-31,101515,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JULI,2016-07-28,DIJLE EN ZENNE,Dijle- en Zennebekken,Onbevaarbaar cat. 1,DIJLE,Onbekend,Onbekend,Waterloop,Koe gered uit dyle,25315,4.64033905135625,50.7777947278497,Regulier,2000-01-01,9999-12-31,101517,Niet van toepassing,,,,,,,,28ca2e94c8a25de1048e7c7bbf32307e
2016,JULI,2016-07-28,IJZER,IJzerbekken,Polder of wateringgracht,,West-Vlaanderen,Alveringem,Waterloop,Muskusrat,25319,2.61848290225763,50.9185002360344,Regulier,2000-01-01,9999-12-31,101538,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JULI,2016-07-29,BRUGSE POL-GENTSE KAN,Bekken van de Gentse Kanalen,Polder of wateringgracht,,Oost-Vlaanderen,Sint-Laureins,Natuurgebied,Oeverzwaluwen,25330,3.53399867767087,51.2532174775432,Regulier,2000-01-01,9999-12-31,101722,Niet van toepassing,,,,,,,,2a39cd923ccb919fa86bcb0db8ef507a
2016,JULI,2016-07-29,SCHELDE EN  DENDER,Denderbekken,Onbevaarbaar cat. 1,OUDE MARK - MEERBROEKLOKTE,Oost-Vlaanderen,Geraardsbergen,Waterloop,Muskusrat,25351,3.92174604441203,50.747458774445,Regulier,2000-01-01,9999-12-31,101867,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,JULI,2016-07-29,BRUGSE POL-GENTSE KAN,Bekken van de Gentse Kanalen,Niet geklasseerd,,Oost-Vlaanderen,Sint-Laureins,Natuurgebied,Vos,25365,3.55365809745538,51.2668100754505,Regulier,2000-01-01,9999-12-31,101889,Niet van toepassing,,,,,,,,9fcf3b8cbb082911ff299fb26ed201ac
